date,sku_id,sku_name,quantity_sold,price,category,promotion_flag
1/1/2025,MEALIE_2KG,Mealie Meal 2KG,30,2.03,Staple,FALSE
1/1/2025,MEALIE_10KG,Mealie Meal 10KG,37,7.96,Staple,FALSE
1/1/2025,RICE_5KG,Rice 5KG,25,7.5,Staple,FALSE
1/1/2025,COOKOIL_2LT,Cooking Oil 2L,26,3.49,Staple,FALSE
1/1/2025,SUGAR_2KG,Sugar 2KG,19,2.22,Staple,TRUE
1/1/2025,SALT_1KG,Salt 1KG,22,1,Staple,FALSE
1/1/2025,COKE_500ML,Coke 500ml,29,0.99,Beverage,FALSE
1/1/2025,MAZOE_1LT,Mazoe Orange 1L,38,2.5,Beverage,TRUE
1/1/2025,TEA_250G,Tea Leaves 250g,37,3.05,Beverage,FALSE
1/1/2025,MILK_1LT,Long-life Milk 1L,32,1.78,Beverage,TRUE
1/1/2025,SOAP_100G,Bathing Soap 100g,11,0.82,Household,FALSE
1/1/2025,DETERGENT_500G,Washing Powder 500g,14,2.46,Household,FALSE
1/1/2025,CANDLES_6PK,Candles 6-pack,12,1.52,Household,FALSE
1/1/2025,TOOTHPASTE_100G,Toothpaste 100g,7,1.83,Personal Care,FALSE
1/1/2025,SANITARY_10PK,Sanitary Pads 10-pack,8,3.56,Personal Care,FALSE
1/1/2025,BISCUITS_200G,Biscuits 200g,21,1.19,Snack,FALSE
1/1/2025,MAPUTI_100G,Maputi 100g,16,0.5,Snack,FALSE
1/1/2025,BREAD_LOAF,Bread Loaf,46,0.98,Bakery,FALSE
1/1/2025,BEANS_410G,Baked Beans 410g,7,1.53,Canned Food,FALSE
1/1/2025,PILCHARDS_155G,Pilchards 155g,8,1.83,Canned Food,FALSE
1/1/2025,AIRTIME_5,Airtime $5,43,5.03,Utility,FALSE
1/1/2025,ELECTRICITY_10,Electricity $10,57,10.07,Utility,FALSE
1/2/2025,MEALIE_2KG,Mealie Meal 2KG,26,1.97,Staple,FALSE
1/2/2025,MEALIE_10KG,Mealie Meal 10KG,25,8.05,Staple,FALSE
1/2/2025,RICE_5KG,Rice 5KG,16,7.57,Staple,FALSE
1/2/2025,COOKOIL_2LT,Cooking Oil 2L,13,3.44,Staple,FALSE
1/2/2025,SUGAR_2KG,Sugar 2KG,12,2.18,Staple,FALSE
1/2/2025,SALT_1KG,Salt 1KG,12,0.99,Staple,FALSE
1/2/2025,COKE_500ML,Coke 500ml,17,0.99,Beverage,TRUE
1/2/2025,MAZOE_1LT,Mazoe Orange 1L,17,2.46,Beverage,TRUE
1/2/2025,TEA_250G,Tea Leaves 250g,17,2.94,Beverage,FALSE
1/2/2025,MILK_1LT,Long-life Milk 1L,21,1.8,Beverage,TRUE
1/2/2025,SOAP_100G,Bathing Soap 100g,6,0.8,Household,FALSE
1/2/2025,DETERGENT_500G,Washing Powder 500g,8,2.49,Household,FALSE
1/2/2025,CANDLES_6PK,Candles 6-pack,9,1.48,Household,TRUE
1/2/2025,TOOTHPASTE_100G,Toothpaste 100g,5,1.83,Personal Care,TRUE
1/2/2025,SANITARY_10PK,Sanitary Pads 10-pack,4,3.48,Personal Care,FALSE
1/2/2025,BISCUITS_200G,Biscuits 200g,13,1.2,Snack,FALSE
1/2/2025,MAPUTI_100G,Maputi 100g,12,0.5,Snack,FALSE
1/2/2025,BREAD_LOAF,Bread Loaf,21,1.02,Bakery,TRUE
1/2/2025,BEANS_410G,Baked Beans 410g,5,1.51,Canned Food,FALSE
1/2/2025,PILCHARDS_155G,Pilchards 155g,5,1.81,Canned Food,FALSE
1/2/2025,AIRTIME_5,Airtime $5,28,4.97,Utility,TRUE
1/2/2025,ELECTRICITY_10,Electricity $10,35,9.94,Utility,FALSE
1/3/2025,MEALIE_2KG,Mealie Meal 2KG,25,2,Staple,FALSE
1/3/2025,MEALIE_10KG,Mealie Meal 10KG,39,7.92,Staple,FALSE
1/3/2025,RICE_5KG,Rice 5KG,20,7.63,Staple,FALSE
1/3/2025,COOKOIL_2LT,Cooking Oil 2L,17,3.47,Staple,TRUE
1/3/2025,SUGAR_2KG,Sugar 2KG,22,2.16,Staple,FALSE
1/3/2025,SALT_1KG,Salt 1KG,20,1.01,Staple,TRUE
1/3/2025,COKE_500ML,Coke 500ml,29,1,Beverage,TRUE
1/3/2025,MAZOE_1LT,Mazoe Orange 1L,24,2.53,Beverage,FALSE
1/3/2025,TEA_250G,Tea Leaves 250g,24,3.04,Beverage,FALSE
1/3/2025,MILK_1LT,Long-life Milk 1L,27,1.81,Beverage,FALSE
1/3/2025,SOAP_100G,Bathing Soap 100g,10,0.81,Household,FALSE
1/3/2025,DETERGENT_500G,Washing Powder 500g,12,2.5,Household,FALSE
1/3/2025,CANDLES_6PK,Candles 6-pack,9,1.51,Household,FALSE
1/3/2025,TOOTHPASTE_100G,Toothpaste 100g,6,1.8,Personal Care,FALSE
1/3/2025,SANITARY_10PK,Sanitary Pads 10-pack,7,3.57,Personal Care,FALSE
1/3/2025,BISCUITS_200G,Biscuits 200g,18,1.21,Snack,FALSE
1/3/2025,MAPUTI_100G,Maputi 100g,17,0.5,Snack,FALSE
1/3/2025,BREAD_LOAF,Bread Loaf,29,1,Bakery,FALSE
1/3/2025,BEANS_410G,Baked Beans 410g,9,1.53,Canned Food,FALSE
1/3/2025,PILCHARDS_155G,Pilchards 155g,7,1.79,Canned Food,FALSE
1/3/2025,AIRTIME_5,Airtime $5,39,4.93,Utility,FALSE
1/3/2025,ELECTRICITY_10,Electricity $10,37,10.02,Utility,FALSE
